timestamp,hour,wind speed,wind direction,friction velocity,wind speed_10 m,wind direction_10 m
20200422,14,5.5,123.0,7.647330892920858,8.003733094304527,123.0
20200422,15,5.6,121.0,7.786373272792145,8.149255514200972,121.0
20200422,16,5.6,119.0,7.786373272792145,8.149255514200972,119.0
20200422,17,5.6,117.0,7.786373272792145,8.149255514200972,117.0
20200422,18,5.6,116.0,7.786373272792145,8.149255514200972,116.0
20200422,19,5.6,114.0,7.786373272792145,8.149255514200972,114.0
20200422,20,5.7,113.0,7.9254156526634345,8.29477793409742,113.0
20200422,21,5.6,113.0,7.786373272792145,8.149255514200972,113.0
20200422,22,5.5,113.0,7.647330892920858,8.003733094304527,113.0
20200422,23,5.8,113.0,8.064458032534722,8.440300353993864,113.0
20200423,0,5.9,113.0,8.203500412406012,8.585822773890312,113.0
20200423,1,6.0,112.0,8.3425427922773,8.731345193786757,112.0
20200423,2,6.0,112.0,8.3425427922773,8.731345193786757,112.0
20200423,3,5.9,112.0,8.203500412406012,8.585822773890312,112.0
20200423,4,5.8,113.0,8.064458032534722,8.440300353993864,113.0
20200423,5,5.7,114.0,7.9254156526634345,8.29477793409742,114.0
20200423,6,5.6,115.0,7.786373272792145,8.149255514200972,115.0
20200423,7,5.6,116.0,7.786373272792145,8.149255514200972,116.0
20200423,8,5.5,116.0,7.647330892920858,8.003733094304527,116.0
20200423,9,5.4,115.0,7.508288513049569,7.858210674408082,115.0
20200423,10,5.3,116.0,7.369246133178281,7.712688254511635,116.0
20200423,11,5.3,116.0,7.369246133178281,7.712688254511635,116.0
20200423,12,5.3,116.0,7.369246133178281,7.712688254511635,116.0
20200423,13,5.2,115.0,7.230203753306992,7.5671658346151895,115.0
20200423,14,5.0,114.0,6.952118993564416,7.276120994822297,114.0
20200423,15,4.8,110.0,6.674034233821839,6.985076155029406,110.0
20200423,16,4.6,107.0,6.395949474079262,6.694031315236513,107.0
20200423,17,4.5,103.0,6.256907094207975,6.548508895340068,103.0
